system:index,co,dewpoint_temperature_2m,hcho,lat,lon,no2,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,.geo
0,0.04077780351540596,287.5624346937763,2.0215631597968406E-4,28.35,76.85,6.258169638926466E-5,98071.22176307441,298.14661275088537,0.0023267504159719303,0.46014487558303885,-0.3983491283573516,"{""type"":""Point"",""coordinates"":[76.85,28.349999999999994]}"
1,0.04058869952413631,287.54127896104205,2.2132591505089546E-4,28.35,76.91,6.924040181943708E-5,97932.4163977775,298.07750846827946,0.0023734809882021255,0.46736246396417525,-0.45302849033651826,"{""type"":""Point"",""coordinates"":[76.91,28.349999999999994]}"
2,0.041047414588771244,287.68166740103953,2.2640954769182734E-4,28.35,76.97,7.353716011444466E-5,98002.41297311996,298.05110560726354,0.0024308313118269324,0.46423306051454577,-0.507918939198533,"{""type"":""Point"",""coordinates"":[76.97,28.35]}"
3,0.04119175862335511,287.68166740103953,2.422878366868737E-4,28.35,77.03,7.548050019810334E-5,98002.41297311996,298.05110560726354,0.0024308313118269324,0.46423306051454577,-0.507918939198533,"{""type"":""Point"",""coordinates"":[77.03,28.349999999999994]}"
4,0.0414328913280103,287.89323855186717,2.4444130789041344E-4,28.35,77.08999999999999,7.931520616001158E-5,98215.75863522047,298.0789688528402,0.002502830824133564,0.4536384164470517,-0.5670370898834648,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.35]}"
5,0.041850096143010926,288.0747239970726,2.3946651001320132E-4,28.35,77.14999999999999,8.159281532889945E-5,98367.63260782322,298.07976392632736,0.002529384325955108,0.43312748251440314,-0.6066996853101193,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.350000000000005]}"
6,0.042186595699946886,288.0747239970726,2.4249906508800798E-4,28.35,77.21,8.714655493694736E-5,98367.63260782322,298.07976392632736,0.002529384325955108,0.43312748251440314,-0.6066996853101193,"{""type"":""Point"",""coordinates"":[77.21,28.35]}"
7,0.042952752305022636,288.2195419729573,2.633336348567753E-4,28.35,77.27,1.0524265159353575E-4,98442.06890919308,298.0443610831481,0.002485560990686382,0.3972786089056702,-0.6162499871972484,"{""type"":""Point"",""coordinates"":[77.27,28.349999999999994]}"
8,0.04356770778840262,288.2195419729573,2.6503945022380903E-4,28.35,77.33,1.1208777877202576E-4,98442.06890919308,298.0443610831481,0.002485560990686382,0.3972786089056702,-0.6162499871972484,"{""type"":""Point"",""coordinates"":[77.33,28.350000000000005]}"
9,0.043942224601906145,288.35399857612515,2.8088999708528184E-4,28.35,77.39,1.0247605762727444E-4,98502.07290462687,297.9983045673804,0.0024164671231623525,0.3580454334276454,-0.6142021601602906,"{""type"":""Point"",""coordinates"":[77.39000000000001,28.35]}"
10,0.04332792167400582,288.35399857612515,2.803637269171196E-4,28.35,77.44999999999999,9.893596365471909E-5,98502.07290462687,297.9983045673804,0.0024164671231623525,0.3580454334276454,-0.6142021601602906,"{""type"":""Point"",""coordinates"":[77.44999999999999,28.35]}"
11,0.0433131319424802,288.4530380667072,2.7673470190950426E-4,28.35,77.50999999999999,9.687416246904434E-5,98523.18112380507,297.9377554627861,0.0023461851636025328,0.33860130484245704,-0.6050459948848917,"{""type"":""Point"",""coordinates"":[77.50999999999999,28.35]}"
12,0.04068101752313893,287.7136471474007,2.2460768648295697E-4,28.405,76.85,6.392466823763797E-5,98259.99858955835,298.1620208113162,0.0024215180860807776,0.3966276229788722,-0.4356191456590068,"{""type"":""Point"",""coordinates"":[76.85,28.405]}"
13,0.040873760277852805,287.7392020935336,2.1430942128841475E-4,28.405,76.91,7.33607032679883E-5,98208.77404617947,298.12758382858215,0.002472608533950797,0.4070723825393747,-0.48708705510178624,"{""type"":""Point"",""coordinates"":[76.91,28.405]}"
14,0.04176271904430477,287.8153775358853,2.295094966104846E-4,28.405,76.97,8.41107565098289E-5,98101.95795028895,298.01462698461825,0.002499611520114106,0.4112456265105501,-0.5346494949027286,"{""type"":""Point"",""coordinates"":[76.97,28.405]}"
15,0.04169512207275802,287.8153775358853,2.4057663377985604E-4,28.405,77.03,9.276858941273706E-5,98101.95795028895,298.01462698461825,0.002499611520114106,0.4112456265105501,-0.5346494949027286,"{""type"":""Point"",""coordinates"":[77.03,28.405]}"
16,0.042012074994177355,287.8961051418356,2.480366259927505E-4,28.405,77.08999999999999,9.405485782846362E-5,98012.74276764054,297.90670032936714,0.0025438365335334794,0.4085066251014463,-0.58683449775661,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.405]}"
17,0.04176844512699248,288.0385642064761,2.470982567390037E-4,28.405,77.14999999999999,9.285029269467337E-5,98088.94322426147,297.87787055446694,0.0025785174144458425,0.3897856098331814,-0.6299614932439104,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.405]}"
18,0.04205599125703331,288.0385642064761,2.579580458708138E-4,28.405,77.21,9.804607714205124E-5,98088.94322426147,297.87787055446694,0.0025785174144458425,0.3897856098331814,-0.6299614932439104,"{""type"":""Point"",""coordinates"":[77.21,28.405]}"
19,0.04283691584581192,288.2466099220868,2.845137862726261E-4,28.405,77.27,1.1165830569013982E-4,98307.93831558576,297.9140191970897,0.002531254319622188,0.35755581442079615,-0.6363933166956791,"{""type"":""Point"",""coordinates"":[77.27,28.405]}"
20,0.04379455843817405,288.2466099220868,2.9759144972881093E-4,28.405,77.33,1.2051139271883209E-4,98307.93831558576,297.9140191970897,0.002531254319622188,0.35755581442079615,-0.6363933166956791,"{""type"":""Point"",""coordinates"":[77.33,28.405]}"
21,0.043537733109847716,288.4447234619698,2.8484833821847193E-4,28.405,77.39,1.1345948654369864E-4,98516.05749366798,297.9244050953487,0.0024800184935740554,0.3387575994343516,-0.6358105563681967,"{""type"":""Point"",""coordinates"":[77.39000000000001,28.405000000000005]}"
22,0.04300511654961394,288.4447234619698,2.6781798145462585E-4,28.405,77.44999999999999,1.0920783932599704E-4,98516.05749366798,297.9244050953487,0.0024800184935740554,0.3387575994343516,-0.6358105563681967,"{""type"":""Point"",""coordinates"":[77.44999999999999,28.405]}"
23,0.0439243524463339,288.54226332712386,2.6833153530111763E-4,28.405,77.50999999999999,1.0642731443541102E-4,98546.4456215218,297.8654626367297,0.0024244224244602064,0.331044093441201,-0.6295149611555831,"{""type"":""Point"",""coordinates"":[77.50999999999999,28.405]}"
24,0.040642473752956265,287.83626660908743,2.232182193500893E-4,28.46,76.85,6.321174046413432E-5,98377.45498225244,298.15365626365605,0.002518980743460555,0.33491316494876394,-0.47002101227573084,"{""type"":""Point"",""coordinates"":[76.85,28.460000000000004]}"
25,0.04127056712920613,287.8950895614276,2.2197273174953526E-4,28.46,76.91,6.955600222056651E-5,98428.44014206981,298.17706477892455,0.0025750752053849643,0.34656207289325575,-0.5218414763881736,"{""type"":""Point"",""coordinates"":[76.91,28.460000000000004]}"
26,0.04183295558153262,287.97772770711805,2.44123408744963E-4,28.46,76.97,8.231658681915322E-5,98306.15966261776,298.0524203992872,0.002595407043744536,0.3506021543180559,-0.5680575754000169,"{""type"":""Point"",""coordinates"":[76.97,28.459999999999997]}"
27,0.041703695562545634,287.97772770711805,2.455879976743085E-4,28.46,77.03,9.592383319826644E-5,98306.15966261776,298.0524203992872,0.002595407043744536,0.3506021543180559,-0.5680575754000169,"{""type"":""Point"",""coordinates"":[77.03,28.460000000000004]}"
28,0.04230069914962973,288.00494816052867,2.474822312702344E-4,28.46,77.08999999999999,1.0760462355988815E-4,98085.45966261762,297.8685189652115,0.002616902805681194,0.35430757357105225,-0.6145791846323231,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.460000000000004]}"
29,0.042430830451344215,288.0852062138249,2.6877156583234556E-4,28.46,77.14999999999999,1.0930734652629646E-4,98000.03272197847,297.77396341262886,0.002636176906546597,0.348277132913947,-0.6568382546237619,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.460000000000004]}"
30,0.04210081578329631,288.0852062138249,2.686259532742443E-4,28.46,77.21,1.1100945688580807E-4,98000.03272197847,297.77396341262886,0.002636176906546597,0.348277132913947,-0.6568382546237619,"{""type"":""Point"",""coordinates"":[77.21,28.460000000000004]}"
31,0.04312928128517462,288.2874086075176,2.761823826502456E-4,28.46,77.27,1.2050632983329455E-4,98221.56251649887,297.81745544851657,0.002594181964168906,0.3375759142174571,-0.6579459730348634,"{""type"":""Point"",""coordinates"":[77.27,28.460000000000004]}"
32,0.04410979808904201,288.2874086075176,3.012753545394841E-4,28.46,77.33,1.370365784837601E-4,98221.56251649887,297.81745544851657,0.002594181964168906,0.3375759142174571,-0.6579459730348634,"{""type"":""Point"",""coordinates"":[77.33,28.460000000000004]}"
33,0.0442078270676732,288.5078573357569,2.9617005646727357E-4,28.46,77.39,1.260636507766459E-4,98493.56297312002,297.8422157670811,0.0025519188825399233,0.32901427038184033,-0.6581135828201079,"{""type"":""Point"",""coordinates"":[77.39000000000001,28.460000000000004]}"
34,0.04385149273235739,288.5078573357569,2.8732546390639014E-4,28.46,77.44999999999999,1.2300341712709713E-4,98493.56297312002,297.8422157670811,0.0025519188825399233,0.32901427038184033,-0.6581135828201079,"{""type"":""Point"",""coordinates"":[77.44999999999999,28.460000000000004]}"
35,0.04405485100414548,288.5743159812335,2.9940069821130855E-4,28.46,77.50999999999999,1.2399643264788304E-4,98463.28626079131,297.76389768417573,0.0025059463099258547,0.32271956700712584,-0.655812529559549,"{""type"":""Point"",""coordinates"":[77.50999999999999,28.460000000000004]}"
36,0.04103810327203926,287.83626660908743,2.3061231772071155E-4,28.515,76.85,6.265852962531089E-5,98377.45498225244,298.15365626365605,0.002518980743460555,0.33491316494876394,-0.47002101227573084,"{""type"":""Point"",""coordinates"":[76.85,28.514999999999993]}"
37,0.04150285284580033,287.8950895614276,2.2125709253196978E-4,28.515,76.91,6.79430225918393E-5,98428.44014206981,298.17706477892455,0.0025750752053849643,0.34656207289325575,-0.5218414763881736,"{""type"":""Point"",""coordinates"":[76.91,28.515]}"
38,0.04207306238718772,287.97772770711805,2.4279099225973862E-4,28.515,76.97,8.099735446125701E-5,98306.15966261776,298.0524203992872,0.002595407043744536,0.3506021543180559,-0.5680575754000169,"{""type"":""Point"",""coordinates"":[76.97,28.514999999999993]}"
39,0.042242926396105634,287.97772770711805,2.4899273629169473E-4,28.515,77.03,9.677143787180594E-5,98306.15966261776,298.0524203992872,0.002595407043744536,0.3506021543180559,-0.5680575754000169,"{""type"":""Point"",""coordinates"":[77.03,28.515]}"
40,0.04233884848011919,288.00494816052867,2.4316766347438562E-4,28.515,77.08999999999999,1.190894107042626E-4,98085.45966261762,297.8685189652115,0.002616902805681194,0.35430757357105225,-0.6145791846323231,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.514999999999993]}"
41,0.042806415158336025,288.0852062138249,2.633000921114328E-4,28.515,77.14999999999999,1.270041650684124E-4,98000.03272197847,297.77396341262886,0.002636176906546597,0.348277132913947,-0.6568382546237619,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.515000000000008]}"
42,0.04308562930662927,288.0852062138249,2.7697640385676944E-4,28.515,77.21,1.363871753578794E-4,98000.03272197847,297.77396341262886,0.002636176906546597,0.348277132913947,-0.6568382546237619,"{""type"":""Point"",""coordinates"":[77.21,28.515]}"
43,0.04381941301067409,288.2874086075176,2.902804006485839E-4,28.515,77.27,1.5055795754637577E-4,98221.56251649887,297.81745544851657,0.002594181964168906,0.3375759142174571,-0.6579459730348634,"{""type"":""Point"",""coordinates"":[77.27,28.514999999999993]}"
44,0.04461393192049023,288.2874086075176,3.081183548465256E-4,28.515,77.33,1.495094329306108E-4,98221.56251649887,297.81745544851657,0.002594181964168906,0.3375759142174571,-0.6579459730348634,"{""type"":""Point"",""coordinates"":[77.33,28.515]}"
45,0.044493047280188644,288.5078573357569,3.137814640154786E-4,28.515,77.39,1.447287981152318E-4,98493.56297312002,297.8422157670811,0.0025519188825399233,0.32901427038184033,-0.6581135828201079,"{""type"":""Point"",""coordinates"":[77.39000000000001,28.515]}"
46,0.044932653098966054,288.5078573357569,3.0517943184979473E-4,28.515,77.44999999999999,1.3771751206949025E-4,98493.56297312002,297.8422157670811,0.0025519188825399233,0.32901427038184033,-0.6581135828201079,"{""type"":""Point"",""coordinates"":[77.44999999999999,28.515]}"
47,0.044295542815515766,288.5743159812335,2.916769406978833E-4,28.515,77.50999999999999,1.2510850703840502E-4,98463.28626079131,297.76389768417573,0.0025059463099258547,0.32271956700712584,-0.655812529559549,"{""type"":""Point"",""coordinates"":[77.50999999999999,28.515]}"
48,0.041535487122090785,287.9094528337594,2.1141053659271884E-4,28.57,76.85,6.299785699821251E-5,98325.86731101951,298.0185102697923,0.0024806190716078163,0.32484046901197733,-0.48208317560692326,"{""type"":""Point"",""coordinates"":[76.85,28.569999999999997]}"
49,0.04172634242201041,287.9946177791789,2.2260930657947746E-4,28.57,76.91,7.02211470563388E-5,98431.06936581417,298.06921103142196,0.002535502375315409,0.3362868740134038,-0.5336882051267583,"{""type"":""Point"",""coordinates"":[76.91,28.569999999999997]}"
50,0.04213750655229412,288.1341335557911,2.340496241814182E-4,28.57,76.97,8.348572446023099E-5,98438.43763065428,298.01100723754337,0.002556484271728925,0.3402572806023025,-0.5781464358987329,"{""type"":""Point"",""coordinates"":[76.97,28.569999999999997]}"
51,0.043170682916038226,288.1341335557911,2.354721317872706E-4,28.57,77.03,1.0112658817451778E-4,98438.43763065428,298.01100723754337,0.002556484271728925,0.3402572806023025,-0.5781464358987329,"{""type"":""Point"",""coordinates"":[77.03,28.569999999999997]}"
52,0.04286466181528882,288.2275865737707,2.5966717558207643E-4,28.57,77.08999999999999,1.254538317236919E-4,98314.63260782322,297.891108327369,0.002577531488301099,0.3434684544393461,-0.6141584601032135,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.57]}"
53,0.044026413484425944,288.29980626911885,2.6303023746608947E-4,28.57,77.14999999999999,1.3658901226196773E-4,98218.75212837115,297.81807014778855,0.0025862025352374474,0.3473140594621773,-0.6271789032574658,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.569999999999997]}"
54,0.04429991770086893,288.29980626911885,2.9164948338575823E-4,28.57,77.21,1.5172194260276858E-4,98218.75212837115,297.81807014778855,0.0025862025352374474,0.3473140594621773,-0.6271789032574658,"{""type"":""Point"",""coordinates"":[77.21,28.569999999999997]}"
55,0.04468625122883873,288.39783530736065,3.0111993817345E-4,28.57,77.27,1.60211833168529E-4,98311.43169458116,297.7763923331483,0.0025323941972158685,0.353646052809066,-0.621221649047991,"{""type"":""Point"",""coordinates"":[77.27,28.569999999999997]}"
56,0.04492812547342905,288.39783530736065,3.0028868404637245E-4,28.57,77.33,1.5491228815361235E-4,98311.43169458116,297.7763923331483,0.0025323941972158685,0.353646052809066,-0.621221649047991,"{""type"":""Point"",""coordinates"":[77.33,28.57]}"
57,0.044683753494991464,288.53938313662735,3.070457329185155E-4,28.57,77.39,1.4972634136744373E-4,98448.2119457227,297.7378091960191,0.0024890280214075497,0.34829212693863243,-0.6205235071922544,"{""type"":""Point"",""coordinates"":[77.39000000000001,28.57]}"
58,0.044983142353333366,288.53938313662735,2.915665621914206E-4,28.57,77.44999999999999,1.3965624816626116E-4,98448.2119457227,297.7378091960191,0.0024890280214075497,0.34829212693863243,-0.6205235071922544,"{""type"":""Point"",""coordinates"":[77.44999999999999,28.57]}"
59,0.04440458635399121,288.60405387007506,3.052351249526061E-4,28.57,77.50999999999999,1.2370854840896967E-4,98412.24185439854,297.6644758180943,0.0024426035149457664,0.3421246219443401,-0.6179517253893152,"{""type"":""Point"",""coordinates"":[77.50999999999999,28.569999999999997]}"
60,0.0414118754900656,287.9094528337594,2.305617439842026E-4,28.625,76.85,6.485978564946021E-5,98325.86731101951,298.0185102697923,0.0024806190716078163,0.32484046901197733,-0.48208317560692326,"{""type"":""Point"",""coordinates"":[76.85,28.624999999999996]}"
61,0.04197265293047872,287.9946177791789,2.1955808922869376E-4,28.625,76.91,7.434458932653528E-5,98431.06936581417,298.06921103142196,0.002535502375315409,0.3362868740134038,-0.5336882051267583,"{""type"":""Point"",""coordinates"":[76.91,28.624999999999996]}"
62,0.042207187713071984,288.1341335557911,2.3460663821127034E-4,28.625,76.97,8.717185700249634E-5,98438.43763065428,298.01100723754337,0.002556484271728925,0.3402572806023025,-0.5781464358987329,"{""type"":""Point"",""coordinates"":[76.97,28.624999999999996]}"
63,0.042638025990017286,288.1341335557911,2.523712258975045E-4,28.625,77.03,1.0199790255487774E-4,98438.43763065428,298.01100723754337,0.002556484271728925,0.3402572806023025,-0.5781464358987329,"{""type"":""Point"",""coordinates"":[77.03,28.624999999999996]}"
64,0.04342217765039177,288.2275865737707,2.752141283703583E-4,28.625,77.08999999999999,1.213018668269636E-4,98314.63260782322,297.891108327369,0.002577531488301099,0.3434684544393461,-0.6141584601032135,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.624999999999996]}"
65,0.04410853935198497,288.29980626911885,2.7167995330269897E-4,28.625,77.14999999999999,1.348174969066017E-4,98218.75212837115,297.81807014778855,0.0025862025352374474,0.3473140594621773,-0.6271789032574658,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.624999999999996]}"
66,0.04458544722109875,288.29980626911885,2.8861946333661424E-4,28.625,77.21,1.4825749202988217E-4,98218.75212837115,297.81807014778855,0.0025862025352374474,0.3473140594621773,-0.6271789032574658,"{""type"":""Point"",""coordinates"":[77.21,28.624999999999996]}"
